channel,day,installs,cost,ad_revenue,revenue
Mistplay,2025-08-01,0,0.0,13.4581,0.0
Mistplay,2025-08-02,0,0.0,8.1596,0.0
Mistplay,2025-08-03,0,0.0,6.5439,0.0
Mistplay,2025-08-04,0,0.0,5.978,0.0
Mistplay,2025-08-05,0,0.0,3.8923,0.0
Mistplay,2025-08-06,0,0.0,3.3738,0.0
Mistplay,2025-08-07,0,0.0,3.4726,0.0
Mistplay,2025-08-08,0,0.0,3.7845,2.99
Mistplay,2025-08-09,0,0.0,1.6082,0.0
Mistplay,2025-08-10,0,0.0,2.5706,0.0
Mistplay,2025-08-11,0,0.0,2.6269,0.0
Mistplay,2025-08-12,0,0.0,2.2858,0.0
Mistplay,2025-08-13,0,0.0,1.338,0.0
Mistplay,2025-08-14,116,120.53,18.2065,0.0
Mistplay,2025-08-15,379,406.52,64.371,0.0
Mistplay,2025-08-16,288,308.01,71.7889,2.99
Mistplay,2025-08-17,171,183.69,64.3449,0.0
Mistplay,2025-08-18,171,185.0,52.4834,0.0
Mistplay,2025-08-19,111,126.71,45.972,2.99
Mistplay,2025-08-20,135,145.53,57.3133,0.0
Mistplay,2025-08-21,103,116.66,54.753,0.0
Mistplay,2025-08-22,99,105.79,59.3969,0.0
Mistplay,2025-08-23,123,138.3,65.4327,0.0
Mistplay,2025-08-24,94,106.91,60.6487,0.0
Mistplay,2025-08-25,70,81.81,54.1636,0.0
Mistplay,2025-08-26,70,79.97,42.2769,0.0
