country,day,installs,cost,ad_revenue,revenue
Australia,2025-08-01,0,0.0,0.0283,0.0
Canada,2025-08-01,0,0.0,0.0267,0.0
United Kingdom,2025-08-01,0,0.0,0.1045,0.0
United States,2025-08-01,0,0.0,0.7837,0.0
Australia,2025-08-02,0,0.0,0.0329,0.0
Canada,2025-08-02,0,0.0,0.0781,0.0
United Kingdom,2025-08-02,0,0.0,0.3404,0.0
United States,2025-08-02,0,0.0,1.3822,0.0
Australia,2025-08-03,0,0.0,0.2062,0.0
Canada,2025-08-03,0,0.0,0.0546,0.0
United Kingdom,2025-08-03,0,0.0,0.4538,0.0
United States,2025-08-03,0,0.0,1.3352,0.0
Australia,2025-08-04,0,0.0,0.166,0.0
Canada,2025-08-04,0,0.0,0.0716,0.0
United Kingdom,2025-08-04,0,0.0,0.4354,0.0
United States,2025-08-04,0,0.0,0.8959,0.0
Australia,2025-08-05,0,0.0,0.0268,0.0
Canada,2025-08-05,0,0.0,0.0944,0.0
United Kingdom,2025-08-05,0,0.0,0.6261,0.0
United States,2025-08-05,0,0.0,0.9048,0.0
Australia,2025-08-06,0,0.0,0.0157,0.0
Canada,2025-08-06,0,0.0,0.1772,0.0
United Kingdom,2025-08-06,0,0.0,2.9252,0.0
United States,2025-08-06,0,0.0,0.9688,0.0
Australia,2025-08-07,0,0.0,0.0238,0.0
Canada,2025-08-07,0,0.0,0.1084,0.0
United Kingdom,2025-08-07,0,0.0,0.3022,0.0
United States,2025-08-07,0,0.0,0.8553,0.0
Australia,2025-08-08,0,0.0,0.29,0.0
Canada,2025-08-08,0,0.0,0.0874,0.0
United Kingdom,2025-08-08,0,0.0,0.4742,0.0
United States,2025-08-08,0,0.0,1.0037,0.0
Australia,2025-08-09,0,0.0,0.2928,0.0
Canada,2025-08-09,0,0.0,0.0992,0.0
United Kingdom,2025-08-09,0,0.0,0.1344,0.0
United States,2025-08-09,0,0.0,1.1881,0.0
Australia,2025-08-10,0,0.0,0.1014,0.0
Canada,2025-08-10,0,0.0,0.0827,0.0
United Kingdom,2025-08-10,0,0.0,0.2141,0.0
United States,2025-08-10,0,0.0,1.8536,0.0
Australia,2025-08-11,0,0.0,0.8357,0.0
Canada,2025-08-11,0,0.0,0.1681,0.0
United Kingdom,2025-08-11,0,0.0,0.011,0.0
United States,2025-08-11,0,0.0,1.3395,0.0
Australia,2025-08-12,0,0.0,0.0106,0.0
Canada,2025-08-12,0,0.0,0.0734,0.0
United Kingdom,2025-08-12,0,0.0,0.0784,0.0
United States,2025-08-12,0,0.0,1.2163,0.0
Australia,2025-08-13,0,0.0,0.0021,0.0
Canada,2025-08-13,2,1.3066,0.2528,0.0
United Kingdom,2025-08-13,33,25.996,4.1289,4.036
United States,2025-08-13,83,139.0828,17.5485,3.99
Australia,2025-08-14,2,1.3095,0.6959,0.0
Canada,2025-08-14,2,1.7385,0.1315,0.0
United Kingdom,2025-08-14,24,33.3513,7.4911,5.42
United States,2025-08-14,77,108.6523,23.5472,2.99
Australia,2025-08-15,2,0.9968,0.597,0.0
Canada,2025-08-15,2,1.4544,0.231,0.0
United Kingdom,2025-08-15,13,15.9597,3.8752,5.399
United States,2025-08-15,49,86.1946,24.3217,0.0
Australia,2025-08-16,2,1.0649,0.4179,0.0
Canada,2025-08-16,2,1.5603,0.3936,0.0
United Kingdom,2025-08-16,25,21.2757,5.0778,0.0
United States,2025-08-16,52,66.6929,16.4219,5.99
Australia,2025-08-17,2,0.9262,0.5439,0.0
Bulgaria,2025-08-17,0,0.0,0.0106,0.0
Canada,2025-08-17,2,1.1532,0.5209,3.61
United Kingdom,2025-08-17,9,4.8846,2.6567,0.0
United States,2025-08-17,20,31.9704,22.3854,0.0
Australia,2025-08-18,0,0.0,0.1176,0.0
