game,channel,platform,country,date,installs,cost,ad_revenue,revenue,roas_d0,roas_d1,roas_d3,roas_d7,roas_d14,roas_d30,roas_d60,roas_d90,retention_rate_d1,retention_rate_d2,retention_rate_d3,retention_rate_d7,retention_rate_d14,retention_rate_d30,level_1_events,level_5_events,level_10_events,level_15_events,level_20_events,level_25_events,level_30_events,level_40_events,level_50_events
Brain Tease,Tyr Ads,iOS,United States,9/26/2025,34,66,17.5441,0,0.311,0.3352,0.3654,0.5512,nan,nan,nan,nan,0.32,0.23,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,9/27/2025,50,96,25.8508,13.98,0.4486,0.5446,0.7564,0.9702,nan,nan,nan,nan,0.48,0.44,0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,9/28/2025,32,62,17.2549,2.99,0.21,0.245,0.2732,0.3972,nan,nan,nan,nan,0.3438,0.4062,0.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,9/29/2025,35,62,27.2374,0,0.2556,0.31,0.3592,0.3838,nan,nan,nan,nan,0.4857,0.3714,0.2571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,9/30/2025,38,64,29.7991,9.98,0.3612,0.4006,0.4824,0.5294,nan,nan,nan,nan,0.4737,0.2632,0.2895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,10/1/2025,31,60,28.2543,15.97,0.9004,1.084,1.1762,1.2054,nan,nan,nan,nan,0.5806,0.3226,0.2903,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,10/2/2025,33,62,32.1739,39.94,0.3852,0.4548,0.4952,0.5324,nan,nan,nan,nan,0.4545,0.4242,0.303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,10/3/2025,100,190,60.0685,13.98,0.2954,0.3442,0.379,0.379,nan,nan,nan,nan,0.39,0.32,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,10/4/2025,65,122,55.6493,20.96,0.4422,0.4916,0.5196,0.5196,nan,nan,nan,nan,0.4308,0.2462,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brain Tease,Tyr Ads,iOS,United States,10/5/2025,71,128,54.5721,14.97,0.421,0.454,0.454,0.454,nan,nan,nan,nan,0.3803,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
